Order ID,Date,Customer ID,Product ID,Quantity,Total Price
1,2023-01-01,3390,13,1,390.66
2,2024-06-17,354,5,4,663.68
3,2024-03-19,4992,167,4,771.32
4,2025-07-03,3856,75,1,96.48
5,2025-02-11,14,153,4,986.92
6,2023-06-20,451,17,5,1883.6
7,2023-03-24,1765,34,3,1376.61
8,2023-03-04,3263,98,1,95.28
9,2025-03-30,4458,3,4,1609.88
10,2025-12-15,769,1,5,297.2
11,2025-03-02,2775,63,4,1324.44
12,2024-10-20,336,2,4,546.84
13,2023-10-24,511,6,1,354.62
14,2023-01-01,51,39,2,881.44
15,2023-06-02,1085,186,1,476.95
16,2024-02-12,1387,180,4,79.44
17,2024-12-02,4585,56,5,2361.45
18,2024-12-12,343,82,1,428.69
19,2024-03-25,293,32,1,478.46
20,2024-06-03,4474,18,4,279.08
21,2024-07-24,4640,51,3,306.48
22,2023-04-10,4818,29,1,125.02
23,2024-02-14,3130,119,4,352.04
24,2024-03-02,4245,123,1,46.2
25,2023-09-29,325,29,3,375.06
26,2024-01-11,2498,21,1,361.12
27,2023-08-29,3487,59,2,99.42
28,2025-09-28,4577,39,2,881.44
29,2024-10-28,2973,29,5,625.1
30,2025-11-21,3123,66,2,842.22
31,2023-11-27,4834,85,5,1891
32,2025-08-08,3164,32,4,1913.84
33,2023-06-23,3655,38,1,268.45
34,2025-01-31,516,125,1,404.33
35,2025-04-30,1278,84,3,577.47
36,2025-09-08,2470,153,4,986.92
37,2023-11-05,2590,84,1,192.49
38,2023-01-03,1287,181,3,1216.29
39,2025-08-18,1284,184,1,44.78
40,2023-08-06,4246,170,2,474.88
41,2023-11-11,2668,68,5,254.7
42,2023-05-26,413,85,4,1512.8
43,2024-07-13,2829,159,3,806.16
44,2025-09-18,17,44,3,1204.53
45,2024-07-22,1161,65,2,269.4
46,2024-12-19,3432,56,2,944.58
47,2025-04-10,3071,46,2,506.98
48,2025-07-18,946,169,4,848.96
49,2023-06-26,2625,74,5,762.65
50,2023-06-25,3627,128,1,186.41
51,2024-08-30,1592,40,1,282.82
52,2023-02-01,1267,5,4,663.68
53,2025-11-16,739,177,2,219.84
54,2024-12-22,1068,4,2,526.48
55,2024-04-12,868,200,5,1251.35
56,2024-09-28,3403,116,4,794.36
57,2025-12-07,3787,72,3,866.28
58,2025-07-20,4244,43,2,111.46
